item name,plu,program,time to bake,tray size
ultimate chocolate brownie,323,0,120,15
jam filled doughnut,92,0,120,25
filled muffins assorted,141,0,120,12
sweet buns assorted,381,0,120,8
toffee filled yum yum,118,0,120,8
scottish white morning roll,172,0,120,12
choc hazlenut doughnut,148,0,120,12
jaffa donut,360,0,120,12
apple turnover,55,1,25,12
tiger loaf,27,2,15,6
large french baguette,51,2,15,5
petit pain,36,2,15,24
low gi multiseed cob,395,2,15,6
crusty sourdough rye bloomer,343,2,15,4
ancient grain loaf,369,2,15,4
cheese loaf,368,2,15,4
pastel de nata,244,3,20,24
almond croissant,389,3,20,12
all butter croissant,70,3,20,12
stonebaked panini roll,38,4,6,16
white crusty roll,33,4,6,20
cheese topped roll square,42,4,6,20
mozzarella and pesto focaccia,387,4,6,12
pizza margherita white cheddar,75,4,6,9
vegetable pizza slice,71,4,6,9
demi baguette,49,4,6,12
white sourdough baguette,391,4,6,6
low gi roll,395,4,6,20
stone baked white roll,127,4,6,20
ancient grain roll,300,4,6,12
pretzel,125,4,6,8
sourdough boule,136,5,19,6
maple and pecan plait,54,5,19,16
all butter pain au chocolate,81,5,19,16
pain aux raisin,48,5,19,12
chocolate hazelnut croissant,170,5,19,15